KodeKec;Nama;JumlahDesa;Desa_id;Desa_en;Desa01;Desa02;Desa03;Desa04;Desa05;Desa06;Desa07;Desa08;Desa09;Desa10;Desa11;Desa12;Desa13;Desa14;Desa15;KECAMATAN;@Sekat;@Grafik1;@Grafik2;@Grafik3;U701_id;U702_id;U703_id;U704_id;U701_en;U702_en;U703_en;U704_en;T71K2B1;T71K2B2;T71K2B3;T72K2B1;T72K2B2;T72K2B3;T72K2B4;T73K2B1;T73K2B2;T73K2B3;T73K2B4;T73K2B5;T73K2B6
10;Sumur;7;Desa;Village;Ujungjaya;Tamanjaya;Cigorondong;Tunggaljaya;Kertamukti;Kertajaya;Sumberjaya;;;;;;;;;SUMUR;D:\KCDA\2025\010\Bab7.PNG;D:\KCDA\2025\010\G071.png;D:\KCDA\2025\010\G072.png;D:\KCDA\2025\010\G073.png;Bank merupakan jasa perantara keuangan yang berperan mengumpulkan dana masyarakat dan menyalurkannya sesuai ketentuan yang berlaku. Kehadiran bank di suatu wilayah mendorong pembentukan investasi sektor riil yang akan berujung pada penciptaan nilai tambah ekonomi.  Sangat disayangkan, keberadaan lembaga keuangan ini belum terlihat di seluruh desa untuk Kecamatan Sumur sampai dengan tahun 2024. ;Koperasi dalam sektor riil memiliki banyak keunggulan sehingga dapat mengoptimalkan potensi keunggulan daerah. Mengacu pada data terakhir, jumlah koperasi yang ada di Kecamatan Sumur adalah 3 unit, yaitu koperasi simpan pinjam. ;Meski sebatas sistem pendukung, kehadiran ATM dan agen bank cukup berarti dalam meningkatkan perputaran uang di suatu wilayah Data terahir menunjukkan bahwa sudah dapat ditemui sebanyak 20 unit pendukung tersebut untuk ATM,  dan agen bank di Kecamatan Sumur. ;Pasar merupakan sarana perdagangan yang perlu dicermati keberadaannya pada suatu daerah. Berdasarkan data tahun 2024,  tercatat sebanyak 15 jenis infrastruktur perdagangan di Kecamatan Sumur, yaitu , pasar dengan bangunan semi permanen, pasar tanpa bangunan, minimarket/swalayan/supermarket;Banks are financial intermediaries that play a role in collecting funds from the public and channeling them in accordance with applicable regulations. The presence of banks in a region encourages the formation of real-sector investments that ultimately lead to the creation of economic value added.  Unfortunately, the presence of this financial institution has not been observed throughout village for Sumur District until the year 2024. ;Cooperatives in the real sector have numerous advantages, allowing them to harness the potential advantages of the region optimally.  Referring to the latest data, the number of cooperatives in the Sumur District is 3 units, which is savings and loan cooperatives. ;Even as support systems, the presence of ATM and bank agent is significant in enhancing the circulation of money in a region. The latest data shows that  there are  20 unit of supporting facilities which is ATM,  dan agen bank can be found in Sumur District.;Markets are trading facilities whose existence needs to be noted in a particular area. Based on data from the year 2024,   there are 15 types of trading infrastructure recorded in the Sumur District, which are , market with semi-permanent buildings, buildingless market, minimarket/supermarket;–;–;–;–;–;1;1;–;1;1;1;2;–
20;Cimanggu;12;Desa;Village;Rancapinang;Cibadak;Batuhideung;Tugu;Kramatjaya;Mangkualam;Padasuka;Ciburial;Waringinkurung;Cijaralang;Cimanggu;Tangkilsari;;;;CIMANGGU;D:\KCDA\2025\020\Bab7.PNG;D:\KCDA\2025\020\G071.png;D:\KCDA\2025\020\G072.png;D:\KCDA\2025\020\G073.png;Bank merupakan jasa perantara keuangan yang berperan mengumpulkan dana masyarakat dan menyalurkannya sesuai ketentuan yang berlaku. Kehadiran bank di suatu wilayah mendorong pembentukan investasi sektor riil yang akan berujung pada penciptaan nilai tambah ekonomi.  Sangat disayangkan, keberadaan lembaga keuangan ini belum terlihat di seluruh desa untuk Kecamatan Cimanggu sampai dengan tahun 2024. ;Koperasi dalam sektor riil memiliki banyak keunggulan sehingga dapat mengoptimalkan potensi keunggulan daerah. Mengacu pada data terakhir, jumlah koperasi yang ada di Kecamatan Cimanggu adalah 3 unit, yaitu  dan koperasi simpan pinjam. ;Meski sebatas sistem pendukung, kehadiran ATM dan agen bank cukup berarti dalam meningkatkan perputaran uang di suatu wilayah Data terahir menunjukkan bahwa sudah dapat ditemui sebanyak 15 unit pendukung tersebut untuk ATM,  dan agen bank di Kecamatan Cimanggu. ;Pasar merupakan sarana perdagangan yang perlu dicermati keberadaannya pada suatu daerah. Berdasarkan data tahun 2024,  tercatat sebanyak 6 jenis infrastruktur perdagangan di Kecamatan Cimanggu, yaitu , restoran;Banks are financial intermediaries that play a role in collecting funds from the public and channeling them in accordance with applicable regulations. The presence of banks in a region encourages the formation of real-sector investments that ultimately lead to the creation of economic value added.  Unfortunately, the presence of this financial institution has not been observed throughout village for Cimanggu District until the year 2024. ;Cooperatives in the real sector have numerous advantages, allowing them to harness the potential advantages of the region optimally.  Referring to the latest data, the number of cooperatives in the Cimanggu District is 3 units, which is  dan savings and loan cooperatives. ;Even as support systems, the presence of ATM and bank agent is significant in enhancing the circulation of money in a region. The latest data shows that  there are  15 unit of supporting facilities which is ATM,  dan agen bank can be found in Cimanggu District.;Markets are trading facilities whose existence needs to be noted in a particular area. Based on data from the year 2024,   there are 6 types of trading infrastructure recorded in the Cimanggu District, which are , restaurant;–;–;–;–;1;1;–;–;–;–;–;1;–
30;Cibaliung;9;Desa;Village;Sukajadi;Sudimanik;Sorongan;Curug;Cihanjuang;Cibingbin;Cibaliung;Mendung;Mahendra;;;;;;;CIBALIUNG;D:\KCDA\2025\030\Bab7.PNG;D:\KCDA\2025\030\G071.png;D:\KCDA\2025\030\G072.png;D:\KCDA\2025\030\G073.png;Bank merupakan jasa perantara keuangan yang berperan mengumpulkan dana masyarakat dan menyalurkannya sesuai ketentuan yang berlaku. Kehadiran bank di suatu wilayah mendorong pembentukan investasi sektor riil yang akan berujung pada penciptaan nilai tambah ekonomi.  Sampai dengan tahun 2024, sudah dapat dijumpai sejumlah 2 unit bank, untuk jenis bank umum pemerintah, dan bank umum swasta. ;Koperasi dalam sektor riil memiliki banyak keunggulan sehingga dapat mengoptimalkan potensi keunggulan daerah. Mengacu pada data terakhir, jumlah koperasi yang ada di Kecamatan Cibaliung adalah 4 unit, yaitu koperasi simpan pinjam. ;Meski sebatas sistem pendukung, kehadiran ATM dan agen bank cukup berarti dalam meningkatkan perputaran uang di suatu wilayah Data terahir menunjukkan bahwa sudah dapat ditemui sebanyak 17 unit pendukung tersebut untuk ATM,  dan agen bank di Kecamatan Cibaliung. ;Pasar merupakan sarana perdagangan yang perlu dicermati keberadaannya pada suatu daerah. Berdasarkan data tahun 2024,  tercatat sebanyak 28 jenis infrastruktur perdagangan di Kecamatan Cibaliung, yaitu , pasar dengan bangunan permanen, pasar dengan bangunan semi permanen, pasar tanpa bangunan, minimarket/swalayan/supermarket, restoran;Banks are financial intermediaries that play a role in collecting funds from the public and channeling them in accordance with applicable regulations. The presence of banks in a region encourages the formation of real-sector investments that ultimately lead to the creation of economic value added.  Until the year 2024, there are found 2 bank units, which are government owned commercial bank, and private commercial bank. ;Cooperatives in the real sector have numerous advantages, allowing them to harness the potential advantages of the region optimally.  Referring to the latest data, the number of cooperatives in the Cibaliung District is 4 units, which is savings and loan cooperatives. ;Even as support systems, the presence of ATM and bank agent is significant in enhancing the circulation of money in a region. The latest data shows that  there are  17 unit of supporting facilities which is ATM,  dan agen bank can be found in Cibaliung District.;Markets are trading facilities whose existence needs to be noted in a particular area. Based on data from the year 2024,   there are 28 types of trading infrastructure recorded in the Cibaliung District, which are , market with permanent buildings, market with semi-permanent buildings, buildingless market, minimarket/supermarket, restaurant;1;1;–;2;–;2;3;1;1;1;1;1;2
31;Cibitung;10;Desa;Village;Citeluk;Sindangkerta;Kiarajangkung;Kutakarang;Cikiruh;Malangnengah;Cikadu;Manglid;Kiarapayung;Cikalong;;;;;;CIBITUNG;D:\KCDA\2025\031\Bab7.PNG;D:\KCDA\2025\031\G071.png;D:\KCDA\2025\031\G072.png;D:\KCDA\2025\031\G073.png;Bank merupakan jasa perantara keuangan yang berperan mengumpulkan dana masyarakat dan menyalurkannya sesuai ketentuan yang berlaku. Kehadiran bank di suatu wilayah mendorong pembentukan investasi sektor riil yang akan berujung pada penciptaan nilai tambah ekonomi.  Sangat disayangkan, keberadaan lembaga keuangan ini belum terlihat di seluruh desa untuk Kecamatan Cibitung sampai dengan tahun 2024. ;Koperasi dalam sektor riil memiliki banyak keunggulan sehingga dapat mengoptimalkan potensi keunggulan daerah. Mengacu pada data terakhir, jumlah koperasi yang ada di Kecamatan Cibitung adalah 1 unit, yaitu koperasi simpan pinjam. ;Meski sebatas sistem pendukung, kehadiran ATM dan agen bank cukup berarti dalam meningkatkan perputaran uang di suatu wilayah Data terahir menunjukkan bahwa sudah dapat ditemui sebanyak 11 unit pendukung tersebut untuk agen bank di Kecamatan Cibitung. ;Pasar merupakan sarana perdagangan yang perlu dicermati keberadaannya pada suatu daerah. Berdasarkan data tahun 2024,  tercatat sebanyak 1 jenis infrastruktur perdagangan di Kecamatan Cibitung, yaitu SPBU;Banks are financial intermediaries that play a role in collecting funds from the public and channeling them in accordance with applicable regulations. The presence of banks in a region encourages the formation of real-sector investments that ultimately lead to the creation of economic value added.  Unfortunately, the presence of this financial institution has not been observed throughout village for Cibitung District until the year 2024. ;Cooperatives in the real sector have numerous advantages, allowing them to harness the potential advantages of the region optimally.  Referring to the latest data, the number of cooperatives in the Cibitung District is 1 unit, which is savings and loan cooperatives. ;Even as support systems, the presence of ATM and bank agent is significant in enhancing the circulation of money in a region. The latest data shows that  there are  11 unit of supporting facilities which is agen bank can be found in Cibitung District.;Markets are trading facilities whose existence needs to be noted in a particular area. Based on data from the year 2024,   there is 1 types of trading infrastructure recorded in the Cibitung District, which is gas station;–;–;–;–;–;1;–;–;–;–;–;–;–
40;Cikeusik;14;Desa;Village;Tanjungan;Cikiruhwetan;Sukawaris;Sumurbatu;Umbulan;Sukamulya;Parungkokosan;Nanggala;Rancaseneng;Sukaseneng;Cikeusik;Leuwibalang;Curugciung;Cikadongdong;;CIKEUSIK;D:\KCDA\2025\040\Bab7.PNG;D:\KCDA\2025\040\G071.png;D:\KCDA\2025\040\G072.png;D:\KCDA\2025\040\G073.png;Bank merupakan jasa perantara keuangan yang berperan mengumpulkan dana masyarakat dan menyalurkannya sesuai ketentuan yang berlaku. Kehadiran bank di suatu wilayah mendorong pembentukan investasi sektor riil yang akan berujung pada penciptaan nilai tambah ekonomi.  Sangat disayangkan, keberadaan lembaga keuangan ini belum terlihat di seluruh desa untuk Kecamatan Cikeusik sampai dengan tahun 2024. ;Koperasi dalam sektor riil memiliki banyak keunggulan sehingga dapat mengoptimalkan potensi keunggulan daerah. Mengacu pada data terakhir, jumlah koperasi yang ada di Kecamatan Cikeusik adalah 9 unit, yaitu  dan koperasi simpan pinjam. ;Meski sebatas sistem pendukung, kehadiran ATM dan agen bank cukup berarti dalam meningkatkan perputaran uang di suatu wilayah Data terahir menunjukkan bahwa sudah dapat ditemui sebanyak 17 unit pendukung tersebut untuk ATM,  dan agen bank di Kecamatan Cikeusik. ;Pasar merupakan sarana perdagangan yang perlu dicermati keberadaannya pada suatu daerah. Berdasarkan data tahun 2024,  tercatat sebanyak 28 jenis infrastruktur perdagangan di Kecamatan Cikeusik, yaitu , pasar dengan bangunan permanen, pasar dengan bangunan semi permanen, pasar tanpa bangunan, minimarket/swalayan/supermarket, restoran;Banks are financial intermediaries that play a role in collecting funds from the public and channeling them in accordance with applicable regulations. The presence of banks in a region encourages the formation of real-sector investments that ultimately lead to the creation of economic value added.  Unfortunately, the presence of this financial institution has not been observed throughout village for Cikeusik District until the year 2024. ;Cooperatives in the real sector have numerous advantages, allowing them to harness the potential advantages of the region optimally.  Referring to the latest data, the number of cooperatives in the Cikeusik District is 9 units, which is  dan savings and loan cooperatives. ;Even as support systems, the presence of ATM and bank agent is significant in enhancing the circulation of money in a region. The latest data shows that  there are  17 unit of supporting facilities which is ATM,  dan agen bank can be found in Cikeusik District.;Markets are trading facilities whose existence needs to be noted in a particular area. Based on data from the year 2024,   there are 28 types of trading infrastructure recorded in the Cikeusik District, which are , market with permanent buildings, market with semi-permanent buildings, buildingless market, minimarket/supermarket, restaurant;–;–;–;–;–;1;1;3;2;1;1;2;2
50;Cigeulis;9;Desa;Village;Banyuasih;Karangbolong;Karyabuana;Katumbiri;Waringinjaya;Sinarjaya;Ciseureuheun;Cigeulis;Tarumanagara;;;;;;;CIGEULIS;D:\KCDA\2025\050\Bab7.PNG;D:\KCDA\2025\050\G071.png;D:\KCDA\2025\050\G072.png;D:\KCDA\2025\050\G073.png;Bank merupakan jasa perantara keuangan yang berperan mengumpulkan dana masyarakat dan menyalurkannya sesuai ketentuan yang berlaku. Kehadiran bank di suatu wilayah mendorong pembentukan investasi sektor riil yang akan berujung pada penciptaan nilai tambah ekonomi.  Sangat disayangkan, keberadaan lembaga keuangan ini belum terlihat di seluruh desa untuk Kecamatan Cigeulis sampai dengan tahun 2024. ;Koperasi dalam sektor riil memiliki banyak keunggulan sehingga dapat mengoptimalkan potensi keunggulan daerah. Mengacu pada data terakhir, jumlah koperasi yang ada di Kecamatan Cigeulis adalah 12 unit, yaitu  dan koperasi simpan pinjam. ;Meski sebatas sistem pendukung, kehadiran ATM dan agen bank cukup berarti dalam meningkatkan perputaran uang di suatu wilayah Data terahir menunjukkan bahwa sudah dapat ditemui sebanyak 10 unit pendukung tersebut untuk ATM,  dan agen bank di Kecamatan Cigeulis. ;Pasar merupakan sarana perdagangan yang perlu dicermati keberadaannya pada suatu daerah. Berdasarkan data tahun 2024,  tercatat sebanyak 3 jenis infrastruktur perdagangan di Kecamatan Cigeulis, yaitu ;Banks are financial intermediaries that play a role in collecting funds from the public and channeling them in accordance with applicable regulations. The presence of banks in a region encourages the formation of real-sector investments that ultimately lead to the creation of economic value added.  Unfortunately, the presence of this financial institution has not been observed throughout village for Cigeulis District until the year 2024. ;Cooperatives in the real sector have numerous advantages, allowing them to harness the potential advantages of the region optimally.  Referring to the latest data, the number of cooperatives in the Cigeulis District is 12 units, which is  dan savings and loan cooperatives. ;Even as support systems, the presence of ATM and bank agent is significant in enhancing the circulation of money in a region. The latest data shows that  there are  10 unit of supporting facilities which is ATM,  dan agen bank can be found in Cigeulis District.;Markets are trading facilities whose existence needs to be noted in a particular area. Based on data from the year 2024,   there are 3 types of trading infrastructure recorded in the Cigeulis District, which are ;–;–;–;–;2;1;–;–;–;–;–;1;–
60;Panimbang;6;Desa;Village;Mekarjaya;Gombong;Panimbangjaya;Mekarsari;Citeureup;Tanjungjaya;;;;;;;;;;PANIMBANG;D:\KCDA\2025\060\Bab7.PNG;D:\KCDA\2025\060\G071.png;D:\KCDA\2025\060\G072.png;D:\KCDA\2025\060\G073.png;Bank merupakan jasa perantara keuangan yang berperan mengumpulkan dana masyarakat dan menyalurkannya sesuai ketentuan yang berlaku. Kehadiran bank di suatu wilayah mendorong pembentukan investasi sektor riil yang akan berujung pada penciptaan nilai tambah ekonomi.  Sampai dengan tahun 2024, sudah dapat dijumpai sejumlah 4 unit bank, untuk jenis bank umum pemerintah, dan bank umum swasta. ;Koperasi dalam sektor riil memiliki banyak keunggulan sehingga dapat mengoptimalkan potensi keunggulan daerah. Mengacu pada data terakhir, jumlah koperasi yang ada di Kecamatan Panimbang adalah 2 unit, yaitu  dan koperasi simpan pinjam. ;Meski sebatas sistem pendukung, kehadiran ATM dan agen bank cukup berarti dalam meningkatkan perputaran uang di suatu wilayah Data terahir menunjukkan bahwa sudah dapat ditemui sebanyak 23 unit pendukung tersebut untuk ATM,  dan agen bank di Kecamatan Panimbang. ;Pasar merupakan sarana perdagangan yang perlu dicermati keberadaannya pada suatu daerah. Berdasarkan data tahun 2024,  tercatat sebanyak 28 jenis infrastruktur perdagangan di Kecamatan Panimbang, yaitu , pasar dengan bangunan permanen, pasar dengan bangunan semi permanen, pasar tanpa bangunan, minimarket/swalayan/supermarket, restoran;Banks are financial intermediaries that play a role in collecting funds from the public and channeling them in accordance with applicable regulations. The presence of banks in a region encourages the formation of real-sector investments that ultimately lead to the creation of economic value added.  Until the year 2024, there are found 4 bank units, which are government owned commercial bank, and private commercial bank. ;Cooperatives in the real sector have numerous advantages, allowing them to harness the potential advantages of the region optimally.  Referring to the latest data, the number of cooperatives in the Panimbang District is 2 units, which is  dan savings and loan cooperatives. ;Even as support systems, the presence of ATM and bank agent is significant in enhancing the circulation of money in a region. The latest data shows that  there are  23 unit of supporting facilities which is ATM,  dan agen bank can be found in Panimbang District.;Markets are trading facilities whose existence needs to be noted in a particular area. Based on data from the year 2024,   there are 28 types of trading infrastructure recorded in the Panimbang District, which are , market with permanent buildings, market with semi-permanent buildings, buildingless market, minimarket/supermarket, restaurant;2;–;–;–;1;–;–;3;2;2;2;2;4
61;Sobang;8;Desa;Village;Cimanis;Pangkalan;Sobang;Kutamekar;Bojen;Kertaraharja;Teluklada;Bojenwetan;;;;;;;;SOBANG;D:\KCDA\2025\061\Bab7.PNG;D:\KCDA\2025\061\G071.png;D:\KCDA\2025\061\G072.png;D:\KCDA\2025\061\G073.png;Bank merupakan jasa perantara keuangan yang berperan mengumpulkan dana masyarakat dan menyalurkannya sesuai ketentuan yang berlaku. Kehadiran bank di suatu wilayah mendorong pembentukan investasi sektor riil yang akan berujung pada penciptaan nilai tambah ekonomi.  Sampai dengan tahun 2024, sudah dapat dijumpai sejumlah 1 unit bank, untuk jenis  dan bank umum pemerintah. ;Koperasi dalam sektor riil memiliki banyak keunggulan sehingga dapat mengoptimalkan potensi keunggulan daerah. Mengacu pada data terakhir, jumlah koperasi yang ada di Kecamatan Sobang adalah 2 unit, yaitu koperasi unit desa. ;Meski sebatas sistem pendukung, kehadiran ATM dan agen bank cukup berarti dalam meningkatkan perputaran uang di suatu wilayah Data terahir menunjukkan bahwa sudah dapat ditemui sebanyak 23 unit pendukung tersebut untuk ATM,  dan agen bank di Kecamatan Sobang. ;Pasar merupakan sarana perdagangan yang perlu dicermati keberadaannya pada suatu daerah. Berdasarkan data tahun 2024,  tercatat sebanyak 10 jenis infrastruktur perdagangan di Kecamatan Sobang, yaitu , pasar dengan bangunan permanen, minimarket/swalayan/supermarket;Banks are financial intermediaries that play a role in collecting funds from the public and channeling them in accordance with applicable regulations. The presence of banks in a region encourages the formation of real-sector investments that ultimately lead to the creation of economic value added.  Until the year 2024, there is found 1 bank unit, which is  and government owned commercial bank. ;Cooperatives in the real sector have numerous advantages, allowing them to harness the potential advantages of the region optimally.  Referring to the latest data, the number of cooperatives in the Sobang District is 2 units, which is village cooperatives. ;Even as support systems, the presence of ATM and bank agent is significant in enhancing the circulation of money in a region. The latest data shows that  there are  23 unit of supporting facilities which is ATM,  dan agen bank can be found in Sobang District.;Markets are trading facilities whose existence needs to be noted in a particular area. Based on data from the year 2024,   there are 10 types of trading infrastructure recorded in the Sobang District, which are , market with permanent buildings, minimarket/supermarket;1;–;–;1;–;–;1;3;2;1;–;3;1
70;Munjul;9;Desa;Village;Lebak;Gunungbatu;Panacaran;Curuglanglang;Munjul;Cibitung;Kotadukuh;Pasanggrahan;Sukasaba;;;;;;;MUNJUL;D:\KCDA\2025\070\Bab7.PNG;D:\KCDA\2025\070\G071.png;D:\KCDA\2025\070\G072.png;D:\KCDA\2025\070\G073.png;Bank merupakan jasa perantara keuangan yang berperan mengumpulkan dana masyarakat dan menyalurkannya sesuai ketentuan yang berlaku. Kehadiran bank di suatu wilayah mendorong pembentukan investasi sektor riil yang akan berujung pada penciptaan nilai tambah ekonomi.  Sampai dengan tahun 2024, sudah dapat dijumpai sejumlah 1 unit bank, untuk jenis  dan bank umum pemerintah. ;Koperasi dalam sektor riil memiliki banyak keunggulan sehingga dapat mengoptimalkan potensi keunggulan daerah. Mengacu pada data terakhir, jumlah koperasi yang ada di Kecamatan Munjul adalah 3 unit, yaitu ;Meski sebatas sistem pendukung, kehadiran ATM dan agen bank cukup berarti dalam meningkatkan perputaran uang di suatu wilayah Data terahir menunjukkan bahwa sudah dapat ditemui sebanyak 18 unit pendukung tersebut untuk ATM,  dan agen bank di Kecamatan Munjul. ;Pasar merupakan sarana perdagangan yang perlu dicermati keberadaannya pada suatu daerah. Berdasarkan data tahun 2024,  tercatat sebanyak 15 jenis infrastruktur perdagangan di Kecamatan Munjul, yaitu , pasar dengan bangunan permanen, pasar dengan bangunan semi permanen, minimarket/swalayan/supermarket;Banks are financial intermediaries that play a role in collecting funds from the public and channeling them in accordance with applicable regulations. The presence of banks in a region encourages the formation of real-sector investments that ultimately lead to the creation of economic value added.  Until the year 2024, there is found 1 bank unit, which is  and government owned commercial bank. ;Cooperatives in the real sector have numerous advantages, allowing them to harness the potential advantages of the region optimally.  Referring to the latest data, the number of cooperatives in the Munjul District is 3 units, which is ;Even as support systems, the presence of ATM and bank agent is significant in enhancing the circulation of money in a region. The latest data shows that  there are  18 unit of supporting facilities which is ATM,  dan agen bank can be found in Munjul District.;Markets are trading facilities whose existence needs to be noted in a particular area. Based on data from the year 2024,   there are 15 types of trading infrastructure recorded in the Munjul District, which are , market with permanent buildings, market with semi-permanent buildings, minimarket/supermarket;–;–;–;–;–;–;1;1;1;1;–;1;–
71;Angsana;9;Desa;Village;Cipinang;Kadubadak;Cikayas;Sumurlaban;Padamulya;Padaherang;Karangsari;Angsana;Kramatmanik;;;;;;;ANGSANA;D:\KCDA\2025\071\Bab7.PNG;D:\KCDA\2025\071\G071.png;D:\KCDA\2025\071\G072.png;D:\KCDA\2025\071\G073.png;Bank merupakan jasa perantara keuangan yang berperan mengumpulkan dana masyarakat dan menyalurkannya sesuai ketentuan yang berlaku. Kehadiran bank di suatu wilayah mendorong pembentukan investasi sektor riil yang akan berujung pada penciptaan nilai tambah ekonomi.  Sangat disayangkan, keberadaan lembaga keuangan ini belum terlihat di seluruh desa untuk Kecamatan Angsana sampai dengan tahun 2024. ;Koperasi dalam sektor riil memiliki banyak keunggulan sehingga dapat mengoptimalkan potensi keunggulan daerah. Mengacu pada data terakhir, jumlah koperasi yang ada di Kecamatan Angsana adalah 1 unit, yaitu ;Meski sebatas sistem pendukung, kehadiran ATM dan agen bank cukup berarti dalam meningkatkan perputaran uang di suatu wilayah Data terahir menunjukkan bahwa sudah dapat ditemui sebanyak 16 unit pendukung tersebut untuk agen bank di Kecamatan Angsana. ;Pasar merupakan sarana perdagangan yang perlu dicermati keberadaannya pada suatu daerah. Berdasarkan data tahun 2024,  tercatat sebanyak 6 jenis infrastruktur perdagangan di Kecamatan Angsana, yaitu , minimarket/swalayan/supermarket;Banks are financial intermediaries that play a role in collecting funds from the public and channeling them in accordance with applicable regulations. The presence of banks in a region encourages the formation of real-sector investments that ultimately lead to the creation of economic value added.  Unfortunately, the presence of this financial institution has not been observed throughout village for Angsana District until the year 2024. ;Cooperatives in the real sector have numerous advantages, allowing them to harness the potential advantages of the region optimally.  Referring to the latest data, the number of cooperatives in the Angsana District is 1 unit, which is ;Even as support systems, the presence of ATM and bank agent is significant in enhancing the circulation of money in a region. The latest data shows that  there are  16 unit of supporting facilities which is agen bank can be found in Angsana District.;Markets are trading facilities whose existence needs to be noted in a particular area. Based on data from the year 2024,   there are 6 types of trading infrastructure recorded in the Angsana District, which are , minimarket/supermarket;–;–;–;–;–;–;1;–;–;–;–;1;–
